content,annotation,extras
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,"{'notes': '', 'label': ['1']}",
"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""","{'notes': '', 'label': ['1']}",
It sucks to be done with exams n still be @ Mayag.,"{'notes': '', 'label': ['1']}",
Epic WINS for Fuck City&lt;3,"{'notes': '', 'label': ['1']}",
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,"{'notes': '', 'label': ['1']}",
 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,"{'notes': '', 'label': ['1']}",
fuck yes.  I hate them at work...,"{'notes': '', 'label': ['1']}",
Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,"{'notes': '', 'label': ['1']}",
but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,"{'notes': '', 'label': ['1']}",
damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,"{'notes': '', 'label': ['1']}",
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,"{'notes': '', 'label': ['1']}",
damn.  did you buy bitchy too?,"{'notes': '', 'label': ['1']}",
then by all means  bitch away! haha.,"{'notes': '', 'label': ['1']}",
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,"{'notes': '', 'label': ['1']}",
Let that pussy freeze. Rotten bitey little bastard.,"{'notes': '', 'label': ['1']}",
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,"{'notes': '', 'label': ['1']}",
hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,"{'notes': '', 'label': ['1']}",
I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,"{'notes': '', 'label': ['1']}",
imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,"{'notes': '', 'label': ['1']}",
Ugh  twitter stop it  you fucking slut.,"{'notes': '', 'label': ['1']}",
HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,"{'notes': '', 'label': ['1']}",
cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,"{'notes': '', 'label': ['1']}",
Fuck the pics! @giove_dea WE WANT VIDS!!,"{'notes': '', 'label': ['1']}",
Hard to play because it is damn fucking awful,"{'notes': '', 'label': ['1']}",
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,"{'notes': '', 'label': ['1']}",
no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,"{'notes': '', 'label': ['1']}",
oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,"{'notes': '', 'label': ['1']}",
"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""","{'notes': '', 'label': ['1']}",
I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,"{'notes': '', 'label': ['1']}",
Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,"{'notes': '', 'label': ['1']}",
FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,"{'notes': '', 'label': ['1']}",
another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,"{'notes': '', 'label': ['1']}",
"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.","{'notes': '', 'label': ['1']}",
I got it. How many damn websites do u have homie! Sheesh!,"{'notes': '', 'label': ['1']}",
U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,"{'notes': '', 'label': ['1']}",
 kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,"{'notes': '', 'label': ['1']}",
haris i m trying to control my fat tummy did'nt eat from 2 days :D,"{'notes': '', 'label': ['1']}",
700. you glutinous bitch!,"{'notes': '', 'label': ['1']}",
Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),"{'notes': '', 'label': ['1']}",
So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,"{'notes': '', 'label': ['1']}",
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,"{'notes': '', 'label': ['1']}",
Have you tried 'fuck' and 'Fuck'? (yes  they are different),"{'notes': '', 'label': ['1']}",
Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,"{'notes': '', 'label': ['1']}",
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,"{'notes': '', 'label': ['1']}",
that sucks... she should prolly just change her major lol,"{'notes': '', 'label': ['1']}",
that sucks... so are there plans to get back together? or are they done?,"{'notes': '', 'label': ['1']}",
you are a fatty fat fat,"{'notes': '', 'label': ['1']}",
you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,"{'notes': '', 'label': ['1']}",
they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,"{'notes': '', 'label': ['1']}",
no one likes every fat snack u do bitch! so shaddup ahahahahaha,"{'notes': '', 'label': ['1']}",
stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,"{'notes': '', 'label': ['1']}",
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,"{'notes': '', 'label': ['1']}",
'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,"{'notes': '', 'label': ['1']}",
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),"{'notes': '', 'label': ['1']}",
mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,"{'notes': '', 'label': ['1']}",
"lol @ ""the bitch"". damn.","{'notes': '', 'label': ['1']}",
damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,"{'notes': '', 'label': ['1']}",
Slurpees are awesome. Damn  now I really really want one O.o,"{'notes': '', 'label': ['1']}",
"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!","{'notes': '', 'label': ['1']}",
i loved it  i laughed my ass off,"{'notes': '', 'label': ['1']}",
ahh  you might be on to something...damn techies,"{'notes': '', 'label': ['1']}",
The pig of shame? Lol! Is that like the aardvark of discontent?,"{'notes': '', 'label': ['1']}",
Still - it's damn moronic that media people can't access media - particularly media made by their own company!,"{'notes': '', 'label': ['1']}",
if anyone said Arial I'm gonna beat their ass.,"{'notes': '', 'label': ['1']}",
well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,"{'notes': '', 'label': ['1']}",
Tell her she says Bitch like it's a bad thing,"{'notes': '', 'label': ['1']}",
I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,"{'notes': '', 'label': ['1']}",
Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,"{'notes': '', 'label': ['1']}",
You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,"{'notes': '', 'label': ['1']}",
Damn  you're totally geeking out on us tonite.,"{'notes': '', 'label': ['1']}",
the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,"{'notes': '', 'label': ['1']}",
we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,"{'notes': '', 'label': ['1']}",
Let your hate for Gambit grow. Embrace it. Spread it.,"{'notes': '', 'label': ['1']}",
dig deep and find that special Christmas hate!,"{'notes': '', 'label': ['1']}",
I tried to rickroll my office christmas party last night but the damn band didn't know it!,"{'notes': '', 'label': ['1']}",
even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,"{'notes': '', 'label': ['1']}",
Smack a bitch? :-D,"{'notes': '', 'label': ['1']}",
rock  not the. He gives the emo populists limp wrist rocker throw.,"{'notes': '', 'label': ['1']}",
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,"{'notes': '', 'label': ['1']}",
i feel fucking great get me another drink,"{'notes': '', 'label': ['1']}",
"You've got 5"" of snow?  Damn.  I'm jealous.","{'notes': '', 'label': ['1']}",
It just sucks that so many use it as a crutch.,"{'notes': '', 'label': ['1']}",
They say I have the best ass this side of fourteenth street.,"{'notes': '', 'label': ['1']}",
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,"{'notes': '', 'label': ['1']}",
ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,"{'notes': '', 'label': ['1']}",
Fuck  amen to that,"{'notes': '', 'label': ['1']}",
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,"{'notes': '', 'label': ['1']}",
I knw!!!!!  I hate that! D:,"{'notes': '', 'label': ['1']}",
Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,"{'notes': '', 'label': ['1']}",
yeah. i had to beg the stupid teacher. it was so gay.,"{'notes': '', 'label': ['1']}",
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,"{'notes': '', 'label': ['1']}",
told ya she was fat! she's loyal tho  she has this goin for her...,"{'notes': '', 'label': ['1']}",
if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,"{'notes': '', 'label': ['1']}",
I have all th nerd at home and I'm a smart ass too. So I answered you,"{'notes': '', 'label': ['1']}",
u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,"{'notes': '', 'label': ['1']}",
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,"{'notes': '', 'label': ['1']}",
haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,"{'notes': '', 'label': ['1']}",
and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,"{'notes': '', 'label': ['1']}",
I like the verses to the song....just not that lame ass auto tuning nigga on the hook,"{'notes': '', 'label': ['1']}",
hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,"{'notes': '', 'label': ['1']}",
way to damn hard,"{'notes': '', 'label': ['1']}",
"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""","{'notes': '', 'label': ['1']}",
but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,"{'notes': '', 'label': ['1']}",
DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,"{'notes': '', 'label': ['1']}",
No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,"{'notes': '', 'label': ['1']}",
it was a joke haha. i figured id be emo too since everyone is complaining on here,"{'notes': '', 'label': ['1']}",
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,"{'notes': '', 'label': ['1']}",
o so the rumors are true i am OBESE! yea fat!,"{'notes': '', 'label': ['1']}",
girlfriend where the fuck did u find that photo! lmao!,"{'notes': '', 'label': ['1']}",
ur a damn fool lmao,"{'notes': '', 'label': ['1']}",
They're not my preference  but the app is so damn fast and thorough that I let it slide.,"{'notes': '', 'label': ['1']}",
 Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),"{'notes': '', 'label': ['1']}",
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,"{'notes': '', 'label': ['1']}",
No  you just piss out anything your body won't absorb.,"{'notes': '', 'label': ['1']}",
Doh! dont you hate it when that happens  I keep meaning to take a backup myself,"{'notes': '', 'label': ['1']}",
Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,"{'notes': '', 'label': ['1']}",
Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,"{'notes': '', 'label': ['1']}",
"hate text talking""","{'notes': '', 'label': ['1']}",
: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,"{'notes': '', 'label': ['1']}",
less #damn-fridays  more #bad_wookie_pun,"{'notes': '', 'label': ['1']}",
women are fucking disgusting.,"{'notes': '', 'label': ['1']}",
you bet your sweet ass you will!,"{'notes': '', 'label': ['1']}",
dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,"{'notes': '', 'label': ['1']}",
 will do when i get home  only time i heard it was warped though  fuck life!,"{'notes': '', 'label': ['1']}",
Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,"{'notes': '', 'label': ['1']}",
i got ur ticks  but yo ass ain't gonna come! lol,"{'notes': '', 'label': ['1']}",
Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,"{'notes': '', 'label': ['1']}",
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),"{'notes': '', 'label': ['1']}",
"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)","{'notes': '', 'label': ['1']}",
gee  i'd hate to see what you say about the family ;),"{'notes': '', 'label': ['1']}",
dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,"{'notes': '', 'label': ['1']}",
damn fine! The snow is gone thank god!,"{'notes': '', 'label': ['1']}",
That sucks.  Life can't really be that bad  right?  Chocolate does always help.,"{'notes': '', 'label': ['1']}",
i hate you :P happy birthday dude  good to know your enjoying it,"{'notes': '', 'label': ['1']}",
thats a good question.  most lawyers HATE that stuff.,"{'notes': '', 'label': ['1']}",
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,"{'notes': '', 'label': ['1']}",
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,"{'notes': '', 'label': ['1']}",
ummm. Ya. That's pretty damn pimp.,"{'notes': '', 'label': ['1']}",
as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,"{'notes': '', 'label': ['1']}",
got delayed.  your ass kicking will have to wait.,"{'notes': '', 'label': ['1']}",
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,"{'notes': '', 'label': ['1']}",
it was just a joke man..i wasnt taking the piss out of anything.,"{'notes': '', 'label': ['1']}",
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,"{'notes': '', 'label': ['1']}",
i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,"{'notes': '', 'label': ['1']}",
I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,"{'notes': '', 'label': ['1']}",
"Are you laughing your ass off with all these ""juicy"" twits?","{'notes': '', 'label': ['1']}",
yeah we do... damn this time difference *HUGS*,"{'notes': '', 'label': ['1']}",
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,"{'notes': '', 'label': ['1']}",
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,"{'notes': '', 'label': ['1']}",
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,"{'notes': '', 'label': ['1']}",
wow - mommy's little cheerleader! *must... not... take... the...piss......*,"{'notes': '', 'label': ['1']}",
lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,"{'notes': '', 'label': ['1']}",
oh hot damn!,"{'notes': '', 'label': ['1']}",
He can't hear you  his head's too far up his own ass.,"{'notes': '', 'label': ['1']}",
Prison Bitch is a sparkling addition to any resume.,"{'notes': '', 'label': ['1']}",
a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),"{'notes': '', 'label': ['1']}",
that sucks that you're sick. Sorry to hear that.,"{'notes': '', 'label': ['1']}",
No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),"{'notes': '', 'label': ['1']}",
try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,"{'notes': '', 'label': ['1']}",
Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,"{'notes': '', 'label': ['1']}",
I fucking love Haunted.,"{'notes': '', 'label': ['1']}",
I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,"{'notes': '', 'label': ['1']}",
lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,"{'notes': '', 'label': ['1']}",
Yea it sucks!!,"{'notes': '', 'label': ['1']}",
Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,"{'notes': '', 'label': ['1']}",
yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,"{'notes': '', 'label': ['1']}",
hot damn! did you get an iPhone too?,"{'notes': '', 'label': ['1']}",
aw  thanks. it's going better than yesterday  that's for damn sure. :-D,"{'notes': '', 'label': ['1']}",
no. i must have missed that one. damn. ;-),"{'notes': '', 'label': ['1']}",
have a safe flight.....damn now you make me want some jamba juice,"{'notes': '', 'label': ['1']}",
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,"{'notes': '', 'label': ['1']}",
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,"{'notes': '', 'label': ['1']}",
him and his damn tech stuff bwahaha,"{'notes': '', 'label': ['1']}",
i'm not emo. I'm fucking happy!,"{'notes': '', 'label': ['1']}",
well now I have to edit myself and you know how I hate that!,"{'notes': '', 'label': ['1']}",
if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,"{'notes': '', 'label': ['1']}",
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,"{'notes': '', 'label': ['1']}",
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,"{'notes': '', 'label': ['1']}",
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,"{'notes': '', 'label': ['1']}",
i get that ha ha smart ass :p,"{'notes': '', 'label': ['1']}",
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,"{'notes': '', 'label': ['1']}",
Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,"{'notes': '', 'label': ['1']}",
Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,"{'notes': '', 'label': ['1']}",
yea the weather sucks. At least you missed the 8 degree weather though lol.,"{'notes': '', 'label': ['1']}",
I do  but I'm an American. Hence  I'm a pussy.,"{'notes': '', 'label': ['1']}",
God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,"{'notes': '', 'label': ['1']}",
I take full pride in being a nerd. Hahah.,"{'notes': '', 'label': ['1']}",
THAT'S AN UGLY ASS PICTURE!,"{'notes': '', 'label': ['1']}",
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,"{'notes': '', 'label': ['1']}",
My grandmother is a big bitch and my father's a fraking arsehole.,"{'notes': '', 'label': ['1']}",
you must be bored...you are a twitter whore today. ;),"{'notes': '', 'label': ['1']}",
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,"{'notes': '', 'label': ['1']}",
just don't eat a meal replacement bar.. I fucking threw up!!,"{'notes': '', 'label': ['1']}",
fuck duke!,"{'notes': '', 'label': ['1']}",
"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this","{'notes': '', 'label': ['1']}",
2 weeks? how am I gonna live without money for 2 fucking weeks?,"{'notes': '', 'label': ['1']}",
Well get your ass busy!,"{'notes': '', 'label': ['1']}",
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,"{'notes': '', 'label': ['1']}",
damn that sucks..I hope you are ok now,"{'notes': '', 'label': ['1']}",
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,"{'notes': '', 'label': ['1']}",
Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,"{'notes': '', 'label': ['1']}",
"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?","{'notes': '', 'label': ['1']}",
Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,"{'notes': '', 'label': ['1']}",
Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,"{'notes': '', 'label': ['1']}",
Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount,"{'notes': '', 'label': ['1']}",
If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,"{'notes': '', 'label': ['1']}",
you're a fucking maniac.,"{'notes': '', 'label': ['1']}",
its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,"{'notes': '', 'label': ['1']}",
HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,"{'notes': '', 'label': ['1']}",
FUCK SUNDAY im super bummed.,"{'notes': '', 'label': ['1']}",
whelchers fuckin suck ass!,"{'notes': '', 'label': ['1']}",
some peoples drama just sucks!,"{'notes': '', 'label': ['1']}",
well that sux donkey dick. No interwebs is kinda a pain for ur work.,"{'notes': '', 'label': ['1']}",
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,"{'notes': '', 'label': ['1']}",
today feels like sunday.....damn lol,"{'notes': '', 'label': ['1']}",
Damn didnt even see that lol  : /,"{'notes': '', 'label': ['1']}",
HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,"{'notes': '', 'label': ['1']}",
i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,"{'notes': '', 'label': ['1']}",
don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,"{'notes': '', 'label': ['1']}",
i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,"{'notes': '', 'label': ['1']}",
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,"{'notes': '', 'label': ['1']}",
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,"{'notes': '', 'label': ['1']}",
here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,"{'notes': '', 'label': ['1']}",
no i think you will hate it. Its a bunch of dirty work.,"{'notes': '', 'label': ['1']}",
the iced media party. Long ass day at the office  time for a drink or 3,"{'notes': '', 'label': ['1']}",
easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,"{'notes': '', 'label': ['1']}",
@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,"{'notes': '', 'label': ['1']}",
LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,"{'notes': '', 'label': ['1']}",
You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,"{'notes': '', 'label': ['1']}",
@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,"{'notes': '', 'label': ['1']}",
That sucks  they owe you much?,"{'notes': '', 'label': ['1']}",
Boo  to be fair they shouldn't give away your room. Kick their ass!,"{'notes': '', 'label': ['1']}",
Wow  that's bad-ass. You're like Stanley now. Well  even more so...,"{'notes': '', 'label': ['1']}",
